# Time(s)     N            E            Z
 3.62000e+00 -8.88097e-20  1.45037e-03  2.30003e-03
 3.63000e+00  2.78154e-20 -4.54261e-04 -2.08696e-03
 3.64000e+00 -1.03362e-19  1.68802e-03  2.42235e-03
 3.65000e+00  1.43157e-20 -2.33794e-04 -2.05872e-03
 3.66000e+00 -1.20305e-19  1.96473e-03  2.56176e-03
 3.67000e+00  2.57956e-21 -4.21275e-05 -2.03780e-03
 3.68000e+00 -1.29475e-19  2.11448e-03  2.66912e-03
 3.69000e+00  4.84103e-21 -7.90600e-05 -2.08355e-03
 3.70000e+00 -1.22278e-19  1.99694e-03  2.70439e-03
 3.71000e+00  2.08979e-20 -3.41289e-04 -2.19140e-03
 3.72000e+00 -1.07562e-19  1.75661e-03  2.71650e-03
 3.73000e+00  3.86193e-20 -6.30701e-04 -2.29659e-03
 3.74000e+00 -9.52301e-20  1.55523e-03  2.75712e-03
 3.75000e+00  5.24624e-20 -8.56776e-04 -2.37586e-03
 3.76000e+00 -8.73403e-20  1.42638e-03  2.82132e-03
 3.77000e+00  6.22119e-20 -1.01600e-03 -2.45792e-03
 3.78000e+00 -8.34496e-20  1.36284e-03  2.86921e-03
 3.79000e+00  6.86235e-20 -1.12071e-03 -2.57635e-03
 3.80000e+00 -8.24876e-20  1.34712e-03  2.89244e-03
 3.81000e+00  7.30896e-20 -1.19364e-03 -2.71272e-03
 3.82000e+00 -8.30396e-20  1.35614e-03  2.92363e-03
 3.83000e+00  7.67965e-20 -1.25418e-03 -2.83940e-03
 3.84000e+00 -8.42984e-20  1.37670e-03  2.97770e-03
 3.85000e+00  8.02931e-20 -1.31129e-03 -2.95644e-03
 3.86000e+00 -8.58927e-20  1.40273e-03  3.04469e-03
 3.87000e+00  8.39043e-20 -1.37026e-03 -3.08053e-03
 3.88000e+00 -8.76051e-20  1.43070e-03  3.11007e-03
 3.89000e+00  8.77494e-20 -1.43306e-03 -3.21939e-03
 3.90000e+00 -8.94874e-20  1.46144e-03  3.17739e-03
 3.91000e+00  9.17317e-20 -1.49809e-03 -3.36465e-03
 3.92000e+00 -9.16694e-20  1.49708e-03  3.25621e-03
 3.93000e+00  9.58110e-20 -1.56471e-03 -3.51185e-03
 3.94000e+00 -9.41820e-20  1.53811e-03  3.34873e-03
 3.95000e+00  1.00033e-19 -1.63366e-03 -3.66276e-03
 3.96000e+00 -9.70140e-20  1.58436e-03  3.45391e-03
 3.97000e+00  1.04462e-19 -1.70599e-03 -3.82047e-03
 3.98000e+00 -1.00158e-19  1.63571e-03  3.57085e-03
 3.99000e+00  1.09162e-19 -1.78275e-03 -3.98776e-03
 4.00000e+00 -1.03619e-19  1.69223e-03  3.69936e-03
 4.01000e+00  1.14193e-19 -1.86492e-03 -4.16713e-03
 4.02000e+00 -1.07413e-19  1.75419e-03  3.83980e-03
